,Ability,Character_Class,Character_Level,Grenade,KDA,Lightlevel,Melee,Super,assists,avg_score_per_life,deaths,efficiency,kills,matchID,playersID,score
14461,0.0,Hunter,20,0.0,0.611111111111,304,1.0,0.0,1.0,0.0,9.0,0.666666666667,5.0,702299362,2305843009262728472,0.0
14462,0.0,Titan,20,0.0,0.192307692308,289,1.0,0.0,1.0,0.0,13.0,0.230769230769,2.0,702299362,2305843009263855129,0.0
14463,0.0,Hunter,20,1.0,0.142857142857,288,0.0,0.0,2.0,0.0,14.0,0.214285714286,1.0,702299362,2305843009277710137,0.0
14464,0.0,Hunter,20,1.0,1.3125,299,0.0,1.0,10.0,0.23529411764705882,16.0,1.625,16.0,698535362,2305843009260855248,4.0
14465,0.0,Warlock,20,0.0,0.972222222222,298,0.0,2.0,11.0,0.21052631578947367,18.0,1.27777777778,12.0,698535362,2305843009266785691,4.0
14466,0.0,Titan,20,2.0,1.88461538462,299,0.0,5.0,7.0,0.2857142857142857,13.0,2.15384615385,21.0,698535362,2305843009291468705,4.0
14467,0.0,Titan,20,3.0,1.5,305,0.0,1.0,4.0,0.26666666666666666,14.0,1.64285714286,19.0,698535362,2305843009294205561,4.0
14468,0.0,Warlock,20,1.0,1.57692307692,305,0.0,4.0,3.0,0.21428571428571427,13.0,1.69230769231,19.0,698535362,2305843009260725753,3.0
14469,0.0,Titan,20,1.0,1.0,302,0.0,3.0,4.0,0.16666666666666666,17.0,1.11764705882,15.0,698535362,2305843009267188150,3.0
14470,0.0,Hunter,20,1.0,0.684210526316,301,0.0,2.0,6.0,0.15,19.0,0.842105263158,10.0,698535362,2305843009267703970,3.0
14471,0.0,Titan,20,0.0,1.05263157895,294,1.0,3.0,6.0,0.15,19.0,1.21052631579,17.0,698535362,2305843009291365963,3.0
14472,0.0,Warlock,20,0.0,2.0,305,0.0,0.0,2.0,0.5,1.0,3.0,1.0,698233214,2305843009260725753,1.0
14473,0.0,Titan,20,1.0,7.5,302,1.0,0.0,1.0,1.0,0.0,8.0,7.0,698233214,2305843009267188150,1.0
14474,0.0,Hunter,20,0.0,5.5,301,0.0,0.0,5.0,0.5,1.0,8.0,3.0,698233214,2305843009267703970,1.0
14475,0.0,Titan,20,1.0,2.16666666667,294,0.0,0.0,1.0,0.25,3.0,2.33333333333,6.0,698233214,2305843009291365963,1.0
14476,0.0,Warlock,20,0.0,0.416666666667,300,0.0,0.0,1.0,0.0,6.0,0.5,2.0,698233214,2305843009260557174,0.0
14477,0.0,Titan,20,0.0,0.666666666667,305,0.0,0.0,0.0,0.0,3.0,0.666666666667,2.0,698233214,2305843009260795569,0.0
14478,0.0,Titan,20,0.0,0.25,293,0.0,0.0,0.0,0.0,4.0,0.25,1.0,698233214,2305843009272156403,0.0
14479,0.0,Hunter,20,0.0,0.125,303,0.0,0.0,1.0,0.0,4.0,0.25,0.0,698233214,2305843009284864230,0.0
14480,0.0,Warlock,20,0.0,3.75,305,0.0,1.0,5.0,1.3333333333333333,2.0,5.0,5.0,698165142,2305843009260725753,4.0
14481,0.0,Titan,20,0.0,4.83333333333,302,1.0,2.0,5.0,1.0,3.0,5.66666666667,12.0,698165142,2305843009267188150,4.0
14482,0.0,Hunter,20,0.0,4.125,301,1.0,3.0,5.0,0.8,4.0,4.75,14.0,698165142,2305843009267703970,4.0
14483,0.0,Titan,20,0.0,3.9,294,3.0,2.0,3.0,0.6666666666666666,5.0,4.2,18.0,698165142,2305843009291365963,4.0
14484,0.0,Hunter,20,0.0,0.227272727273,304,0.0,0.0,1.0,0.0,11.0,0.272727272727,2.0,698165142,2305843009263020799,0.0
14485,0.0,Warlock,20,1.0,0.318181818182,303,0.0,0.0,1.0,0.0,11.0,0.363636363636,3.0,698165142,2305843009263935414,0.0
14486,0.0,Titan,20,0.0,0.5,304,1.0,0.0,3.0,0.0,13.0,0.615384615385,5.0,698165142,2305843009264391487,0.0
14487,0.0,Warlock,20,0.0,0.357142857143,300,0.0,0.0,2.0,0.0,14.0,0.428571428571,4.0,698165142,2305843009278008222,0.0
14488,0.0,Warlock,20,0.0,1.2,0,0.0,1.0,2.0,0.6666666666666666,5.0,1.4,5.0,698029273,2305843009260725753,4.0
14489,0.0,Titan,20,0.0,6.0,302,0.0,0.0,4.0,1.3333333333333333,2.0,7.0,10.0,698029273,2305843009267188150,4.0
14490,0.0,Hunter,20,0.0,2.125,301,0.0,1.0,6.0,0.4444444444444444,8.0,2.5,14.0,698029273,2305843009267703970,4.0
14491,0.0,Titan,20,0.0,2.1,294,3.0,2.0,4.0,0.36363636363636365,10.0,2.3,19.0,698029273,2305843009291365963,4.0
14492,0.0,Titan,20,1.0,0.681818181818,305,0.0,1.0,3.0,0.0,11.0,0.818181818182,6.0,698029273,2305843009260435652,0.0
14493,0.0,Titan,20,1.0,0.545454545455,302,0.0,0.0,0.0,0.0,11.0,0.545454545455,6.0,698029273,2305843009260666154,0.0
14494,0.0,Titan,20,0.0,0.4,304,0.0,2.0,6.0,0.0,15.0,0.6,3.0,698029273,2305843009264779957,0.0
14495,0.0,Warlock,20,1.0,0.909090909091,300,0.0,1.0,2.0,0.0,11.0,1.0,9.0,698029273,2305843009270746648,0.0
14496,0.0,Warlock,20,2.0,2.64285714286,305,0.0,1.0,7.0,0.5,7.0,3.14285714286,15.0,697879424,2305843009260725753,4.0
14497,0.0,Hunter,20,1.0,1.46428571429,301,2.0,1.0,9.0,0.26666666666666666,14.0,1.78571428571,16.0,697879424,2305843009267703970,4.0
14498,0.0,Titan,20,1.0,1.95833333333,294,3.0,0.0,7.0,0.3076923076923077,12.0,2.25,20.0,697879424,2305843009291365963,4.0
