,playersID,Ability,Character_Level,Grenade,KDA,Lightlevel,Melee,Super,assists,avg_score_per_life,deaths,efficiency,kills,score,Auto Rifle,Fusion Rifle,Grenade Launcher,Hand Cannon,Linear Fusion Rifle,Pulse Rifle,Rocket Launcher,Scout Rifle,Shotgun,Sidearm,Sniper Rifle,Submachine Gun,Sword,Trace Rifle
3581,2305843009270610302,0.0,20.0,0.0,1.3125,305.0,0.0,1.0,2.0,0.17647058823529413,16.0,1.375,20.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0
3582,2305843009270615941,0.0,20.0,1.0,2.1,289.0,0.0,0.0,5.0,1.0,5.0,2.6,8.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3583,2305843009270617000,0.0,25.0,0.0,1.2857142857100001,327.0,1.0,0.0,4.0,0.625,7.0,1.57142857143,7.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3584,2305843009270617343,0.0,20.0,0.0,0.423076923077,301.0,0.0,2.0,1.0,0.8571428571428571,13.0,0.46153846153800004,5.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3585,2305843009270669973,0.0,20.0,0.0,0.5,300.0,0.0,0.0,1.0,0.75,3.0,0.666666666667,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3586,2305843009270687285,0.0,25.0,0.0,0.642857142857,318.0,0.0,0.0,3.0,0.125,7.0,0.8571428571430001,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3587,2305843009270689130,0.0,25.0,2.0,0.3,317.0,0.0,0.0,0.0,0.0,10.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3588,2305843009270689426,0.0,20.0,1.0,0.8078703703703332,279.6666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666665,0.373015873015873,7.666666666666667,0.9166666666666666,5.333333333333333,3.333333333333333,2.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3589,2305843009270698335,0.0,20.0,0.0,1.0,284.0,0.0,2.0,2.0,1.7,9.0,1.11111111111,8.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3590,2305843009270737740,0.0,25.0,2.0,0.583333333333,326.0,0.0,0.0,1.0,0.0,6.0,0.666666666667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3591,2305843009270739195,0.0,20.0,0.0,2.3,288.0,2.0,1.0,1.0,1.0,5.0,2.4,11.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3592,2305843009270740481,0.0,25.0,0.0,0.9,332.0,0.0,0.0,4.0,0.09090909090909093,10.0,1.1,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
3593,2305843009270750811,0.0,20.0,0.0,1.35714285714,303.0,0.0,0.0,6.0,0.2,14.0,1.57142857143,16.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3594,2305843009270759857,0.0,20.0,0.0,0.5,270.0,0.0,0.0,3.0,0.5,7.0,0.714285714286,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3595,2305843009270767381,0.0,25.0,0.0,0.714285714286,335.0,0.0,0.0,6.0,1.5333333333333334,14.0,0.928571428571,7.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3596,2305843009270824655,0.0,20.0,3.0,1.57692307692,292.0,2.0,3.0,1.0,0.2857142857142857,13.0,1.6153846153799998,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
3597,2305843009270824663,0.0,20.0,2.0,0.7,303.0,0.0,1.0,4.0,0.09090909090909093,10.0,0.9,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3598,2305843009270827152,0.0,25.0,0.0,2.0,331.0,1.0,0.0,6.0,0.6666666666666666,5.0,2.6,7.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3599,2305843009270828154,0.0,20.0,0.0,0.33333333333299997,277.0,1.0,0.0,2.0,0.0,12.0,0.416666666667,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600,2305843009270828916,0.0,25.0,0.0,0.346153846154,335.0,0.0,0.0,3.0,0.0,13.0,0.46153846153800004,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3601,2305843009270829524,0.0,20.0,1.0,0.666666666667,291.0,0.0,0.0,6.0,0.5,9.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3602,2305843009270829770,0.0,20.0,0.0,0.6875,305.0,0.0,0.0,1.0,0.1111111111111111,8.0,0.75,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3603,2305843009270834804,0.0,20.0,0.0,0.8125,301.0,0.5,0.0,1.5,0.7777777777777778,6.5,0.9249999999999999,5.0,5.5,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
